date_key,full_date,year,month,quarter
448,2019-03-24,2019,3,1
449,2019-03-25,2019,3,1
450,2019-03-26,2019,3,1
451,2019-03-27,2019,3,1
452,2019-03-28,2019,3,1
453,2019-03-29,2019,3,1
454,2019-03-30,2019,3,1
455,2019-03-31,2019,3,1
456,2019-04-01,2019,4,2
457,2019-04-02,2019,4,2
458,2019-04-03,2019,4,2
459,2019-04-04,2019,4,2
460,2019-04-05,2019,4,2
461,2019-04-06,2019,4,2
462,2019-04-07,2019,4,2
463,2019-04-08,2019,4,2
464,2019-04-09,2019,4,2
465,2019-04-10,2019,4,2
466,2019-04-11,2019,4,2
467,2019-04-12,2019,4,2
468,2019-04-13,2019,4,2
469,2019-04-14,2019,4,2
470,2019-04-15,2019,4,2
471,2019-04-16,2019,4,2
472,2019-04-17,2019,4,2
473,2019-04-18,2019,4,2
474,2019-04-19,2019,4,2
475,2019-04-20,2019,4,2
476,2019-04-21,2019,4,2
477,2019-04-22,2019,4,2
478,2019-04-23,2019,4,2
479,2019-04-24,2019,4,2
480,2019-04-25,2019,4,2
481,2019-04-26,2019,4,2
482,2019-04-27,2019,4,2
483,2019-04-28,2019,4,2
484,2019-04-29,2019,4,2
485,2019-04-30,2019,4,2
486,2019-05-01,2019,5,2
487,2019-05-02,2019,5,2
488,2019-05-03,2019,5,2
489,2019-05-04,2019,5,2
490,2019-05-05,2019,5,2
491,2019-05-06,2019,5,2
492,2019-05-07,2019,5,2
493,2019-05-08,2019,5,2
494,2019-05-09,2019,5,2
495,2019-05-10,2019,5,2
496,2019-05-11,2019,5,2
497,2019-05-12,2019,5,2
498,2019-05-13,2019,5,2
499,2019-05-14,2019,5,2
500,2019-05-15,2019,5,2
501,2019-05-16,2019,5,2
502,2019-05-17,2019,5,2
503,2019-05-18,2019,5,2
504,2019-05-19,2019,5,2
505,2019-05-20,2019,5,2
506,2019-05-21,2019,5,2
507,2019-05-22,2019,5,2
508,2019-05-23,2019,5,2
509,2019-05-24,2019,5,2
510,2019-05-25,2019,5,2
511,2019-05-26,2019,5,2
512,2019-05-27,2019,5,2
513,2019-05-28,2019,5,2
514,2019-05-29,2019,5,2
515,2019-05-30,2019,5,2
516,2019-05-31,2019,5,2
517,2019-06-01,2019,6,2
518,2019-06-02,2019,6,2
519,2019-06-03,2019,6,2
520,2019-06-04,2019,6,2
521,2019-06-05,2019,6,2
522,2019-06-06,2019,6,2
523,2019-06-07,2019,6,2
524,2019-06-08,2019,6,2
525,2019-06-09,2019,6,2
526,2019-06-10,2019,6,2
527,2019-06-11,2019,6,2
528,2019-06-12,2019,6,2
529,2019-06-13,2019,6,2
530,2019-06-14,2019,6,2
531,2019-06-15,2019,6,2
532,2019-06-16,2019,6,2
533,2019-06-17,2019,6,2
534,2019-06-18,2019,6,2
535,2019-06-19,2019,6,2
536,2019-06-20,2019,6,2
537,2019-06-21,2019,6,2
538,2019-06-22,2019,6,2
539,2019-06-23,2019,6,2
540,2019-06-24,2019,6,2
